speed,rpm,throttle,engine_load,maf,engine_temp,oil_pressure,battery_voltage,fuel_level,tp_fl,tp_fr,tp_rl,tp_rr,prediction,anomaly_score,is_anomaly
13.7,1066.0,1.8,7.0,7.8,91.0,41.8,13.9,85.1,31.9,31.6,32.3,32.2,-1,-0.6400399173668053,True
126.1,3707.0,60.2,80.1,57.7,90.3,41.7,13.91,85.1,31.9,31.7,32.3,31.8,-1,-0.6396863725947851,True
120.9,3772.0,59.8,78.2,56.1,90.7,43.2,13.91,85.1,32.3,32.3,32.4,31.8,-1,-0.6395972574736125,True
10.1,1022.0,3.4,3.2,5.9,88.5,41.7,13.9,85.1,31.9,32.3,31.6,31.6,-1,-0.6392679971366537,True
125.3,3777.0,60.2,80.6,57.5,89.4,41.6,13.99,84.9,31.7,32.1,32.2,31.8,-1,-0.6387743511387038,True
122.3,3726.0,57.6,78.4,55.7,89.4,42.0,13.99,85.1,31.8,31.7,31.8,32.4,-1,-0.6385181500098159,True
5.1,1019.0,2.7,13.1,4.6,88.5,43.1,13.99,85.1,31.8,31.6,32.0,32.4,-1,-0.6384809180299009,True
8.2,1094.0,2.0,10.6,8.3,90.3,41.8,13.9,85.1,31.6,31.6,32.4,32.0,-1,-0.6383104437078981,True
120.1,3740.0,59.7,80.6,55.6,91.4,43.1,13.93,85.1,32.3,32.3,31.7,31.9,-1,-0.638144442117842,True
119.9,3708.0,57.1,77.7,54.5,88.6,43.2,13.99,85.1,31.6,31.7,32.1,31.8,-1,-0.6379614985144294,True
119.6,3713.0,59.1,80.1,54.4,89.0,43.1,13.9,85.1,32.0,32.3,32.4,32.1,-1,-0.6377276301866468,True
3.0,1079.0,2.1,10.7,8.3,88.9,42.8,13.9,85.1,32.2,31.6,31.6,32.3,-1,-0.6376489847861222,True
125.9,3606.0,55.1,75.8,56.4,90.9,43.4,13.98,85.1,32.3,31.7,32.3,31.7,-1,-0.6373850082487983,True
124.5,3758.0,58.9,80.1,55.9,91.5,43.2,13.91,85.1,31.7,31.8,32.1,31.6,-1,-0.6373121868111679,True
124.7,3766.0,60.5,80.0,59.0,91.2,43.5,13.94,84.9,32.1,31.7,31.7,32.3,-1,-0.6372088200887133,True
121.4,3733.0,58.5,79.9,55.0,90.3,41.6,13.98,85.1,31.8,31.8,32.4,32.2,-1,-0.6368327668888827,True
120.3,3702.0,58.4,79.1,57.7,91.4,43.5,13.9,85.0,31.6,32.4,31.6,31.8,-1,-0.6367211335393766,True
20.3,1592.0,13.8,24.5,15.6,89.0,41.9,13.98,84.9,32.3,32.4,32.4,32.3,-1,-0.636295985461258,True
2.1,1085.0,3.4,11.1,6.1,91.4,43.0,13.9,84.9,32.4,31.6,32.3,31.9,-1,-0.636202035315677,True
124.4,3795.0,60.1,82.3,59.0,88.6,41.7,13.92,85.1,31.9,31.6,32.1,31.8,-1,-0.6361883808166456,True
126.3,3768.0,60.0,82.6,56.2,90.8,42.5,13.99,85.1,31.7,31.8,32.4,32.0,-1,-0.6361412424341779,True
114.4,3623.0,54.4,71.2,52.8,88.7,41.7,13.99,85.1,31.7,31.6,32.2,32.3,-1,-0.6361041552126339,True
122.1,3733.0,60.4,80.5,56.1,89.5,43.3,13.99,85.1,31.7,31.9,31.9,31.6,-1,-0.6360965346543064,True
125.0,3754.0,61.4,82.4,58.0,89.6,41.6,13.93,85.1,32.3,32.0,31.7,32.4,-1,-0.6357070233791823,True
122.0,3713.0,60.4,81.9,59.4,89.2,41.7,13.91,84.9,31.8,31.6,31.8,31.6,-1,-0.6355783239542581,True
119.5,3781.0,57.9,79.5,56.3,89.4,42.0,13.99,85.1,32.0,31.6,31.8,32.4,-1,-0.6355111846191696,True
16.4,1011.0,1.9,6.2,7.0,89.2,43.5,13.9,85.1,31.8,31.6,32.1,31.6,-1,-0.6354160234794419,True
120.9,3765.0,58.3,78.9,57.2,89.5,43.2,13.91,84.9,32.3,32.4,31.7,31.6,-1,-0.6351772549172491,True
116.1,3703.0,57.4,77.5,53.7,88.7,43.3,13.9,84.9,31.7,32.3,32.4,31.9,-1,-0.6350317172615245,True
121.1,3785.0,59.6,80.7,56.5,91.4,41.6,13.96,85.0,32.3,31.8,31.7,32.4,-1,-0.6348272596826812,True
38.6,1523.0,8.6,16.9,14.6,88.6,42.1,13.91,85.1,31.6,31.6,32.4,32.1,-1,-0.6347688987942565,True
4.7,1052.0,2.4,11.3,7.5,88.6,41.8,13.97,85.1,31.7,32.2,32.4,32.4,-1,-0.6342426475223518,True
115.9,3700.0,57.6,74.8,53.2,91.4,42.1,13.93,85.1,31.9,31.9,32.4,32.4,-1,-0.6341781658024936,True
122.4,3733.0,58.5,81.0,56.3,89.2,42.0,13.96,85.1,32.0,32.4,32.4,31.8,-1,-0.6340243706108809,True
126.7,3786.0,60.3,80.3,57.1,91.0,42.1,13.99,84.9,32.1,32.4,31.7,32.2,-1,-0.6340163002735812,True
115.4,3731.0,58.1,77.0,54.7,88.8,43.3,13.9,85.0,32.4,32.0,31.7,32.4,-1,-0.6338771100179156,True
15.6,1081.0,3.1,5.8,10.1,88.5,41.8,13.99,85.1,32.3,31.8,32.3,31.7,-1,-0.633594168562177,True
10.1,1035.0,3.1,6.7,6.4,88.6,41.7,13.98,85.1,31.6,31.7,32.3,32.3,-1,-0.6334712452164967,True
123.4,3781.0,59.2,81.1,58.2,88.7,42.1,13.98,84.9,32.4,32.0,32.3,31.6,-1,-0.6334387771386808,True
41.5,1528.0,8.5,16.2,16.2,88.9,42.0,13.99,85.1,31.7,31.7,31.7,32.4,-1,-0.6334008912480311,True
122.5,3755.0,58.7,79.0,56.9,89.2,41.6,13.92,84.9,32.3,32.2,32.4,32.3,-1,-0.6333198701599511,True
122.6,3788.0,59.1,77.2,55.2,89.1,43.4,13.9,85.1,31.8,32.2,32.3,32.3,-1,-0.6331843866897252,True
125.6,3756.0,60.8,80.3,55.2,89.0,42.1,13.99,84.9,31.8,32.3,31.6,32.2,-1,-0.6331152506112343,True
119.3,3720.0,58.1,78.7,55.0,91.3,42.8,13.98,84.9,31.8,31.6,32.4,32.1,-1,-0.6330725371547161,True
0.7,1073.0,3.3,10.6,6.9,90.0,41.7,13.9,84.9,32.3,31.9,32.4,32.3,-1,-0.6330645279970655,True
123.7,3773.0,59.5,81.5,57.4,90.7,43.3,13.98,84.9,32.2,31.7,31.8,32.4,-1,-0.6330453700812634,True
120.0,3746.0,58.2,79.6,56.6,88.6,42.0,13.97,85.1,32.3,32.3,31.6,32.3,-1,-0.6329428938233412,True
19.5,1233.0,5.7,9.7,11.2,90.6,42.9,13.9,85.1,32.3,31.6,32.4,32.3,-1,-0.6328017807171267,True
124.2,3776.0,60.7,78.5,56.0,89.0,41.7,13.92,84.9,32.0,32.3,32.3,31.6,-1,-0.6324864965167574,True
5.5,1040.0,1.6,10.7,8.4,89.1,43.5,13.9,85.0,31.6,31.6,32.4,32.0,-1,-0.6323607494400088,True
13.1,1135.0,3.5,8.8,9.3,90.8,43.3,13.9,85.1,32.3,32.1,32.4,32.3,-1,-0.6322747661864597,True
122.1,3782.0,59.2,81.7,58.3,88.7,41.9,13.93,85.0,31.7,31.6,31.6,32.3,-1,-0.632183249561265,True
124.0,3531.0,56.3,76.6,53.0,88.8,43.2,13.98,85.1,32.4,31.8,32.1,32.4,-1,-0.6321005063740108,True
14.8,1079.0,3.8,8.4,10.0,88.7,42.2,13.9,85.1,31.6,31.7,32.4,31.9,-1,-0.6320414147709235,True
117.1,3792.0,57.4,77.1,55.4,89.6,41.6,13.9,85.1,32.1,32.3,31.7,32.2,-1,-0.6317774060458798,True
126.8,3731.0,61.0,82.3,57.3,88.8,42.1,13.92,85.1,32.3,31.8,32.1,31.7,-1,-0.6317447155125416,True
123.0,3715.0,59.8,79.1,56.4,90.4,41.7,13.91,84.9,31.6,32.2,31.7,32.3,-1,-0.631706818690692,True
112.1,3703.0,53.5,72.3,49.6,88.9,42.1,13.9,85.1,32.4,31.8,31.7,31.6,-1,-0.631686458749392,True
113.2,3625.0,53.5,71.2,52.4,89.4,41.7,13.92,85.1,31.6,32.3,32.3,32.4,-1,-0.6316832609862825,True
122.4,3794.0,60.0,77.9,56.4,91.3,42.1,13.92,84.9,32.3,31.8,32.4,31.9,-1,-0.6316328413268836,True
114.6,3768.0,56.2,76.3,51.2,91.4,42.0,13.99,84.9,31.9,31.7,32.4,32.2,-1,-0.6315783618438102,True
120.9,3717.0,59.0,79.3,55.5,90.8,43.0,13.99,84.9,32.4,32.3,32.3,31.6,-1,-0.6311927461611134,True
115.2,3758.0,56.3,75.0,53.9,89.6,43.3,13.99,85.1,31.8,31.6,32.1,32.4,-1,-0.6310606888215887,True
40.8,2274.0,27.4,43.2,23.9,91.4,42.0,13.9,85.1,32.3,32.4,32.4,31.7,-1,-0.6310356982594447,True
124.8,3734.0,60.1,78.7,56.1,90.1,43.4,13.99,85.0,31.6,31.8,32.4,31.6,-1,-0.6309525149151796,True
126.8,3764.0,59.8,81.1,57.2,88.9,42.9,13.92,84.9,31.8,31.7,31.8,32.4,-1,-0.6308574139741439,True
109.6,3559.0,52.6,70.5,50.0,91.4,43.1,13.9,84.9,31.7,31.6,32.0,32.3,-1,-0.6307733935743047,True
118.9,3775.0,58.7,79.5,54.7,91.5,43.4,13.91,85.1,32.4,32.4,31.8,32.0,-1,-0.6306044910159072,True
115.1,3741.0,57.5,78.0,54.8,91.2,41.6,13.94,84.9,32.1,31.7,31.7,32.4,-1,-0.6305949249932623,True
121.9,3781.0,59.8,79.6,56.8,89.1,42.3,13.91,85.0,31.6,32.4,31.7,32.3,-1,-0.6305328186776609,True
7.1,1049.0,3.0,10.7,4.9,89.0,43.5,13.98,85.0,32.4,31.6,32.3,31.8,-1,-0.6302278685142906,True
2.7,1040.0,3.0,14.1,6.6,88.6,42.1,13.91,85.1,32.4,32.3,32.3,32.3,-1,-0.630080419459237,True
121.3,3725.0,58.6,80.3,56.9,89.8,43.0,13.99,84.9,31.6,31.7,32.1,32.3,-1,-0.6300213025719463,True
7.8,1059.0,2.2,10.2,8.5,88.6,42.1,13.99,84.9,31.8,31.6,32.3,32.3,-1,-0.6297818328758332,True
121.4,3729.0,57.9,78.9,56.5,90.7,41.8,13.9,85.1,32.0,31.7,32.3,32.1,-1,-0.6296686029438008,True
120.5,3730.0,60.4,78.1,56.6,89.3,42.1,13.9,84.9,32.0,31.8,31.6,32.4,-1,-0.6295843906950692,True
118.8,3699.0,56.6,76.6,54.7,89.3,43.1,13.93,85.1,32.4,31.6,31.9,31.7,-1,-0.6295584576411445,True
120.4,3794.0,59.2,81.8,55.5,89.5,43.5,13.96,85.1,31.8,32.3,32.3,31.6,-1,-0.6294927168396488,True
24.5,1225.0,4.9,6.6,10.9,88.7,41.9,13.98,85.1,32.4,31.6,32.3,32.0,-1,-0.6291805448023438,True
120.0,3781.0,58.1,78.4,54.4,90.5,43.1,13.95,85.1,31.6,32.4,32.4,32.1,-1,-0.6289283226119061,True
118.0,3773.0,58.0,76.5,55.0,91.0,42.2,13.99,85.0,32.3,32.1,31.6,32.4,-1,-0.6288117254827993,True
126.4,3791.0,60.8,80.8,57.2,90.3,41.6,13.92,85.1,31.7,32.0,31.8,31.7,-1,-0.6287760089644567,True
125.8,3767.0,60.5,79.6,57.9,88.8,43.5,13.99,85.0,31.6,31.8,32.3,31.9,-1,-0.6287253649734559,True
122.1,3720.0,58.5,79.8,56.7,88.8,41.7,13.98,85.1,32.3,32.0,31.6,32.2,-1,-0.6287226614578625,True
2.1,1027.0,2.1,11.5,4.9,88.5,43.4,13.97,85.1,31.8,31.7,32.3,31.6,-1,-0.6287100048007211,True
117.1,3708.0,55.0,75.5,51.5,88.5,42.1,13.9,85.1,31.7,31.8,32.4,32.0,-1,-0.6286407215666604,True
119.4,3699.0,58.9,77.6,55.9,90.7,41.6,13.91,84.9,31.7,31.8,32.0,32.3,-1,-0.6286300051285434,True
122.0,3708.0,60.8,79.3,55.6,90.7,42.2,13.99,85.0,31.9,31.6,32.4,31.7,-1,-0.6285747307291405,True
126.5,3575.0,55.8,77.1,52.6,89.2,41.7,13.94,85.1,31.8,32.4,31.7,32.2,-1,-0.6284398592465755,True
6.4,1092.0,2.4,11.9,6.4,89.0,42.0,13.91,85.1,32.3,32.4,32.3,31.7,-1,-0.6281933504562569,True
124.1,3722.0,59.0,79.6,56.8,91.1,43.2,13.95,84.9,32.3,32.3,32.3,32.4,-1,-0.6281078765873745,True
121.3,3784.0,59.4,79.1,56.7,89.3,43.5,13.96,84.9,31.7,31.8,31.6,31.6,-1,-0.6280174823431026,True
125.5,3714.0,60.2,78.1,55.2,89.1,42.7,13.99,84.9,31.8,32.3,32.4,31.8,-1,-0.6280067962112507,True
119.7,3789.0,59.0,79.5,56.0,91.1,42.4,13.99,84.9,32.3,32.2,31.7,32.3,-1,-0.6279201969377508,True
119.7,3794.0,58.4,79.2,55.6,91.4,43.3,13.98,85.0,31.8,32.4,32.4,31.8,-1,-0.6279111589940626,True
124.8,3790.0,60.4,82.7,56.1,88.8,42.2,13.99,85.0,31.7,31.6,31.9,32.3,-1,-0.6278139564962252,True
19.6,1289.0,5.3,7.9,11.5,88.5,41.9,13.93,84.9,32.4,32.4,32.3,31.7,-1,-0.6277960559869425,True
119.4,3733.0,59.7,79.8,56.4,89.4,41.7,13.96,85.1,32.2,32.3,31.6,32.3,-1,-0.6277615004166835,True
100.5,3379.0,46.9,67.0,47.9,88.7,42.9,13.9,85.1,32.4,32.3,31.7,32.4,-1,-0.6277214554977161,True
121.6,3728.0,59.8,77.5,55.9,89.7,41.8,13.9,84.9,31.6,32.3,31.7,32.1,-1,-0.627663744716287,True
118.5,3778.0,57.1,77.1,52.4,90.5,43.0,13.99,85.1,31.6,31.9,31.7,31.9,-1,-0.6275098729325524,True
125.2,3709.0,60.3,81.4,58.2,90.6,43.2,13.99,84.9,31.6,31.7,32.1,32.1,-1,-0.6273708469304705,True
125.0,3745.0,59.9,80.6,57.8,91.1,43.1,13.9,85.0,32.3,31.7,32.2,31.7,-1,-0.6273434759937274,True
117.6,3765.0,58.4,76.3,56.8,89.3,41.6,13.99,85.0,32.4,32.2,31.6,32.2,-1,-0.6272487310465572,True
116.2,3751.0,55.4,73.0,51.4,90.9,43.4,13.9,85.1,32.0,31.7,31.7,32.3,-1,-0.6272475505422426,True
121.3,3714.0,60.4,82.1,58.4,90.5,42.8,13.97,85.1,32.2,31.7,31.8,32.4,-1,-0.6272390180108248,True
117.0,3793.0,58.1,77.3,55.8,89.4,42.5,13.9,84.9,31.6,31.8,31.7,32.2,-1,-0.6271433527924003,True
118.6,3772.0,58.6,78.6,57.7,89.3,42.9,13.92,85.1,31.6,31.8,31.7,31.8,-1,-0.6269903993509989,True
121.3,3794.0,60.5,81.2,55.7,90.6,41.7,13.99,84.9,31.9,32.4,31.9,32.2,-1,-0.6269786402384424,True
10.1,1041.0,2.1,9.4,7.6,88.7,42.1,13.99,84.9,31.6,31.6,31.9,32.3,-1,-0.6269571247749366,True
2.7,1102.0,2.1,11.3,5.9,88.7,42.0,13.97,85.1,32.3,31.7,31.6,32.3,-1,-0.6269151352585028,True
8.9,1021.0,2.1,3.7,6.3,88.9,42.0,13.9,84.9,32.4,31.7,32.2,32.3,-1,-0.6268607071973439,True
122.1,3716.0,60.1,79.9,58.7,90.8,41.9,13.9,85.1,31.7,32.2,32.1,32.3,-1,-0.6268537439081436,True
117.1,3732.0,57.5,78.4,53.0,91.0,42.3,13.92,85.1,31.6,32.3,31.7,31.7,-1,-0.626739769878761,True
126.6,3543.0,55.7,74.2,53.2,88.8,41.8,13.93,85.1,32.3,31.7,32.4,32.3,-1,-0.6267119043891177,True
109.2,3611.0,52.6,71.8,49.3,91.3,43.3,13.91,84.9,31.8,32.3,32.3,32.4,-1,-0.6266280889918189,True
126.6,3577.0,56.1,76.8,55.7,88.7,43.3,13.99,84.9,32.4,32.0,31.7,31.7,-1,-0.6266257928450731,True
126.8,3478.0,52.0,71.8,53.5,89.0,43.2,13.98,85.1,32.0,31.7,31.7,31.6,-1,-0.6265624867123216,True
111.2,3676.0,53.8,71.5,50.1,91.2,41.9,13.9,85.1,31.8,31.7,31.9,32.4,-1,-0.626461812991894,True
6.7,1069.0,2.3,11.0,4.8,88.5,41.7,13.95,85.1,31.6,32.1,32.4,31.7,-1,-0.6263599170956313,True
116.1,3751.0,56.9,78.5,52.2,89.0,42.0,13.95,84.9,32.4,32.2,32.4,31.6,-1,-0.6263251304388444,True
23.9,1225.0,5.0,7.5,11.7,91.1,41.6,13.9,85.0,31.8,31.6,32.3,31.6,-1,-0.6263195387753606,True
6.4,1021.0,2.8,12.6,5.6,89.5,41.6,13.97,84.9,31.7,32.2,32.4,32.4,-1,-0.6262661375841707,True
118.8,3702.0,59.8,78.1,56.4,91.1,42.1,13.99,85.1,32.0,31.9,32.2,31.7,-1,-0.6262606490243787,True
3.1,1012.0,2.0,11.4,4.9,88.7,42.1,13.98,84.9,32.4,31.6,32.0,31.7,-1,-0.6262196595397369,True
28.1,1350.0,7.7,13.8,10.6,88.8,42.1,13.91,84.9,31.6,31.6,31.6,31.6,-1,-0.6261686035925974,True
120.2,3739.0,58.3,78.8,52.9,90.7,42.1,13.92,85.0,32.2,31.6,31.7,32.4,-1,-0.6260196700354466,True
2.6,1027.0,3.3,10.8,7.0,90.7,41.8,13.9,84.9,32.4,31.9,32.4,32.2,-1,-0.6260151713715388,True
14.8,1010.0,1.7,6.8,6.7,89.5,43.5,13.9,84.9,31.7,32.2,31.7,32.4,-1,-0.6260095454961728,True
118.7,3705.0,57.9,79.7,55.8,90.8,42.1,13.98,85.1,31.8,32.1,31.7,32.3,-1,-0.6258376123545221,True
121.9,3736.0,58.9,80.0,57.4,89.5,42.0,13.99,84.9,31.7,31.8,32.3,31.8,-1,-0.6258342729670302,True
121.7,3756.0,59.3,80.1,55.4,91.2,41.8,13.92,84.9,31.8,31.7,32.2,32.3,-1,-0.625689774172343,True
122.1,3614.0,55.9,76.7,52.6,91.0,41.7,13.98,85.1,31.9,31.8,32.4,31.7,-1,-0.625634374975966,True
116.3,3735.0,57.5,74.8,53.8,88.8,43.1,13.99,85.1,31.7,32.4,31.8,32.1,-1,-0.6256140510887884,True
27.5,1397.0,6.7,10.8,13.9,89.4,41.6,13.97,85.1,32.3,32.2,32.4,31.7,-1,-0.625611045336992,True
10.0,1060.0,2.0,11.3,6.0,88.8,41.6,13.98,84.9,31.7,32.3,32.3,32.3,-1,-0.6255821410480286,True
17.4,1020.0,3.3,7.1,8.9,89.3,43.5,13.92,85.1,31.6,32.2,31.9,32.4,-1,-0.6255194496995833,True
4.7,1043.0,2.2,14.1,8.1,88.5,43.5,13.91,84.9,32.4,32.3,32.4,32.1,-1,-0.6254717944074526,True
128.9,3286.0,43.7,64.6,49.7,91.5,41.6,13.93,84.9,31.7,31.6,32.4,31.7,-1,-0.6254592576382365,True
121.2,3770.0,59.1,81.2,56.2,90.5,42.8,13.93,84.9,32.4,31.6,32.2,31.7,-1,-0.6253366946467179,True
123.7,3604.0,55.5,76.8,53.5,91.1,43.1,13.91,85.1,32.4,31.7,32.3,32.2,-1,-0.625318526107971,True
43.6,1540.0,8.3,17.4,14.7,88.7,41.6,13.91,85.1,31.6,31.6,31.8,32.1,-1,-0.6252333814767359,True
124.5,3597.0,56.6,75.8,53.8,91.4,43.4,13.98,85.1,31.6,31.9,31.6,31.9,-1,-0.625224978863802,True
11.9,1092.0,2.8,7.7,8.0,88.8,43.5,13.9,85.0,32.3,31.6,31.6,32.2,-1,-0.6252246902284583,True
1.3,1070.0,1.9,10.8,7.0,89.3,43.2,13.9,85.1,31.9,31.6,32.2,32.3,-1,-0.6252004062494139,True
17.6,1610.0,14.1,24.0,13.5,88.8,41.8,13.99,85.0,31.7,31.6,31.7,32.4,-1,-0.6251628935557813,True
4.1,1046.0,2.7,11.7,6.6,91.4,41.7,13.9,84.9,32.0,31.6,32.2,31.6,-1,-0.6250083128611358,True
127.0,3607.0,54.7,76.8,54.9,88.6,41.8,13.93,85.1,32.3,32.2,31.7,31.6,-1,-0.6250033800236843,True
4.2,1029.0,3.2,9.9,6.4,90.5,43.3,13.91,85.1,32.2,31.6,32.3,31.7,-1,-0.6249031097629527,True
20.6,1312.0,5.5,7.9,11.9,88.5,43.0,13.9,84.9,31.6,32.1,32.3,31.6,-1,-0.6248157944735826,True
122.1,3762.0,60.0,80.7,57.1,90.9,43.4,13.91,85.1,32.3,31.7,31.9,32.1,-1,-0.6248025143326675,True
125.3,3699.0,60.5,80.2,57.9,89.1,43.3,13.9,85.0,31.7,31.7,32.2,32.3,-1,-0.624780920379209,True
122.4,3788.0,61.3,82.5,55.6,90.8,43.2,13.96,84.9,31.7,32.0,31.8,32.4,-1,-0.6245710557073336,True
118.9,3768.0,58.8,80.0,54.6,89.2,41.6,13.99,84.9,31.7,32.1,32.1,31.8,-1,-0.6245529315417045,True
115.2,3766.0,56.5,74.8,52.3,88.7,43.3,13.9,84.9,32.0,32.1,31.7,32.4,-1,-0.624478386608182,True
123.3,3751.0,60.4,81.4,58.5,88.8,41.7,13.9,85.0,32.4,32.1,31.7,32.1,-1,-0.6243202936967078,True
27.1,1346.0,5.4,9.0,9.7,88.7,41.8,13.9,85.1,32.0,31.8,32.4,31.6,-1,-0.6242487370160915,True
122.1,3747.0,59.9,78.9,56.6,91.1,42.2,13.91,84.9,31.6,31.7,32.2,31.7,-1,-0.6242408436379061,True
114.5,3741.0,56.2,76.4,53.9,90.9,43.5,13.9,85.1,31.7,31.8,32.3,32.0,-1,-0.6241955367659099,True
121.6,3706.0,59.8,79.4,56.6,91.2,43.1,13.92,85.0,31.7,32.3,31.7,31.6,-1,-0.6241781029103409,True
122.2,3759.0,60.3,80.6,57.8,89.4,43.2,13.97,85.1,32.2,31.9,31.6,32.3,-1,-0.6241424811245208,True
123.1,3777.0,59.9,78.8,54.1,89.5,43.3,13.92,85.1,31.8,32.3,32.4,31.8,-1,-0.6241404932747706,True
11.1,1042.0,2.3,6.4,7.0,91.1,41.6,13.95,85.1,31.7,32.4,32.2,32.4,-1,-0.6241035420748079,True
10.8,1008.0,2.3,8.5,5.5,89.0,42.0,13.97,85.0,31.7,31.6,32.4,32.4,-1,-0.6240633628397295,True
16.3,1239.0,4.7,9.1,10.9,88.8,42.9,13.99,85.1,31.9,31.6,32.3,31.7,-1,-0.6240472662157286,True
